event_id,event_dt,event_type,strategy,side,signal_dt,entry_dt,exit_dt,entry_price,exit_price,stop,target,R,planned_risk_frac,planned_risk_dollars,equity_after,sr_context,status,reason,volume_ratio,count_ratio,taker_share
3f8fbfaa3636bc05806e,2026-09-03T15:00:00Z,ENTRY,C,long,2026-09-03T14:59:59.999000Z,2026-09-03T15:00:00Z,2026-09-03T22:59:59.999000Z,80508.4,81109.1,79379.82457871,83894.12626386,0.3610568087,0.0075,6.0,800.0,false,paper,time,4.271162,3.537329,0.582176
e2fa981f655461f552f5,2026-09-03T15:00:00Z,ENTRY,A,long,2026-09-03T14:59:59.999000Z,2026-09-03T15:00:00Z,2026-09-04T12:59:59.999000Z,80508.4,79667.39069451,79667.39069451,,-1.2297479454,0.005,4.0,800.0,false,paper,stop,6.081536,4.829332,0.536419
da92cb5864417611d50b,2026-09-03T22:59:59.999000Z,EXIT,C,long,2026-09-03T14:59:59.999000Z,2026-09-03T15:00:00Z,2026-09-03T22:59:59.999000Z,80508.4,81109.1,79379.82457871,83894.12626386,0.3610568087,0.0075,6.0,802.16634085,false,paper,time,4.271162,3.537329,0.582176
78ae47135f9e86ab0333,2026-09-04T12:59:59.999000Z,EXIT,A,long,2026-09-03T14:59:59.999000Z,2026-09-03T15:00:00Z,2026-09-04T12:59:59.999000Z,80508.4,79667.39069451,79667.39069451,,-1.2297479454,0.005,4.0,797.24734907,false,paper,stop,6.081536,4.829332,0.536419
088d7fd3917ffab75444,2026-09-06T12:00:00Z,ENTRY,B,long,2026-09-06T11:59:59.999000Z,2026-09-06T12:00:00Z,2026-09-08T15:59:59.999000Z,79878.3,78121.54075132,78121.54075132,82513.43887303,-1.109125892,0.005,3.98623675,797.24734907,false,paper,stop,0.265876,0.312969,0.50925
10effa63c1f49f5ff548,2026-09-08T15:59:59.999000Z,EXIT,B,long,2026-09-06T11:59:59.999000Z,2026-09-06T12:00:00Z,2026-09-08T15:59:59.999000Z,79878.3,78121.54075132,78121.54075132,82513.43887303,-1.109125892,0.005,3.98623675,792.82611068,false,paper,stop,0.265876,0.312969,0.50925
d547b8f0a427a4e40ebc,2026-09-09T08:00:00Z,ENTRY,B,long,2026-09-09T07:59:59.999000Z,2026-09-09T08:00:00Z,2026-09-10T15:59:59.999000Z,79246.0,77465.4849061,77465.4849061,81916.77264085,-1.1068176286,0.00625,4.95516319,792.82611068,true,paper,stop,1.466836,1.319722,0.525474
5ae91cd0ed4a98b5d82a,2026-09-10T15:59:59.999000Z,EXIT,B,long,2026-09-09T07:59:59.999000Z,2026-09-09T08:00:00Z,2026-09-10T15:59:59.999000Z,79246.0,77465.4849061,77465.4849061,81916.77264085,-1.1068176286,0.00625,4.95516319,787.34164871,true,paper,stop,1.466836,1.319722,0.525474
9ea2755b6e936d239a4c,2026-09-11T14:00:00Z,ENTRY,A,long,2026-09-11T13:59:59.999000Z,2026-09-11T14:00:00Z,2026-09-11T15:59:59.999000Z,79208.0,78332.13562893,78332.13562893,,-1.2170418232,0.0075,5.90506237,787.34164871,false,paper,stop,5.363893,4.935366,0.535988
15f1f8d522a2059230d3,2026-09-11T15:59:59.999000Z,EXIT,A,long,2026-09-11T13:59:59.999000Z,2026-09-11T14:00:00Z,2026-09-11T15:59:59.999000Z,79208.0,78332.13562893,78332.13562893,,-1.2170418232,0.0075,5.90506237,780.15494084,false,paper,stop,5.363893,4.935366,0.535988
7d52579487a10d5873eb,2026-09-18T14:00:00Z,ENTRY,C,long,2026-09-18T13:59:59.999000Z,2026-09-18T14:00:00Z,2026-09-18T21:59:59.999000Z,80046.5,81202.5,78932.00353933,83389.989382,0.8648644783,0.0075,5.85116206,780.15494084,false,paper,time,11.689281,9.057172,0.536707
1f796faba9c0b3b270b8,2026-09-18T21:59:59.999000Z,EXIT,C,long,2026-09-18T13:59:59.999000Z,2026-09-18T14:00:00Z,2026-09-18T21:59:59.999000Z,80046.5,81202.5,78932.00353933,83389.989382,0.8648644783,0.0075,5.85116206,785.21540306,false,paper,time,11.689281,9.057172,0.536707
187d1f45d30670841755,2026-09-20T16:00:00Z,ENTRY,B,long,2026-09-20T15:59:59.999000Z,2026-09-20T16:00:00Z,,80871.4,,78876.36055403,83863.95916895,,0.005,3.92607702,785.21540306,false,paper,open,0.628154,0.732904,0.572212
